import time: self [us] | cumulative | imported package
import time:       982 |        982 |             numpy.core.arrayprint
import time:       278 |        278 |             numpy.core._asarray
import time:      2807 |      10141 |           numpy.core.numeric
import time:      4259 |       4259 |           numpy.core.defchararray
import time:       449 |        449 |           numpy.core.records
import time:       246 |        246 |           numpy.core.memmap
import time:       591 |        591 |           numpy.core.function_base
import time:       207 |        207 |           numpy.core.machar
import time:       338 |        338 |           numpy.core.getlimits
import time:       513 |        513 |           numpy.core.einsumfunc
import time:       389 |        389 |             numpy.core._multiarray_tests
import time:      1728 |       2117 |           numpy.core._add_newdocs
import time:       600 |        600 |           numpy.core._add_newdocs_scalars
import time:       180 |        180 |           numpy.core._dtype_ctypes
import time:      1206 |       1206 |           numpy.core._internal
import time:       208 |        208 |           numpy._pytesttester
import time:      1568 |      35111 |         numpy.core
import time:       391 |        391 |           numpy.lib.mixins
import time:       462 |        462 |               numpy.lib.ufunclike
import time:      1262 |       1723 |             numpy.lib.type_check
import time:       948 |       2671 |           numpy.lib.scimath
import time:       638 |        638 |                       numpy.lib.stride_tricks
import time:      1366 |       2004 |                     numpy.lib.twodim_base
import time:       284 |        284 |                     numpy.linalg.lapack_lite
import time:       339 |        339 |                     numpy.linalg._umath_linalg
import time:      2294 |       4919 |                   numpy.linalg.linalg
import time:       251 |       5170 |                 numpy.linalg
import time:       431 |       5601 |               numpy.matrixlib.defmatrix
import time:       216 |       5817 |             numpy.matrixlib
import time:       579 |        579 |               numpy.lib.histograms
import time:      3148 |       3727 |             numpy.lib.function_base
import time:       826 |      10369 |           numpy.lib.index_tricks
import time:      1597 |       1597 |           numpy.lib.nanfunctions
import time:      1372 |       1372 |           numpy.lib.shape_base
import time:      2228 |       2228 |           numpy.lib.polynomial
import time:       907 |        907 |           numpy.lib.utils
import time:       957 |        957 |           numpy.lib.arraysetops
import time:       387 |        387 |             numpy.lib.format
import time:     18256 |      18256 |             numpy.lib._datasource
import time:       560 |        560 |             numpy.lib._iotools
import time:      1441 |      20643 |           numpy.lib.npyio
import time:       219 |        219 |           numpy.lib.arrayterator
import time:       365 |        365 |           numpy.lib.arraypad
import time:       194 |        194 |           numpy.lib._version
import time:      1028 |      42935 |         numpy.lib
import time:       219 |        219 |             numpy.fft._pocketfft_internal
import time:      1834 |       2053 |           numpy.fft._pocketfft
import time:       399 |        399 |           numpy.fft.helper
import time:       332 |       2782 |         numpy.fft
import time:       280 |        280 |             numpy.polynomial.polyutils
import time:       510 |        510 |             numpy.polynomial._polybase
import time:       564 |       1353 |           numpy.polynomial.polynomial
import time:       407 |        407 |           numpy.polynomial.chebyshev
import time:       327 |        327 |           numpy.polynomial.legendre
import time:       359 |        359 |           numpy.polynomial.hermite
import time:       342 |        342 |           numpy.polynomial.hermite_e
import time:       427 |        427 |           numpy.polynomial.laguerre
import time:       609 |       3820 |         numpy.polynomial
import time:       131 |        131 |                   backports_abc
import time:       742 |        872 |                 numpy.random._common
import time:       314 |        314 |                   hmac
import time:       272 |        585 |                 secrets
import time:       582 |       2039 |               numpy.random.bit_generator
import time:       343 |        343 |               numpy.random._bounded_integers
import time:       256 |        256 |               numpy.random._mt19937
import time:      1439 |       4076 |             numpy.random.mtrand
import time:       276 |        276 |             numpy.random._philox
import time:       262 |        262 |             numpy.random._pcg64
import time:       227 |        227 |             numpy.random._sfc64
import time:       715 |        715 |             numpy.random._generator
import time:       503 |       6056 |           numpy.random._pickle
import time:       335 |       6390 |         numpy.random
import time:       621 |        621 |         numpy.ctypeslib
import time:      3458 |       3458 |           numpy.ma.core
import time:      1445 |       1445 |           numpy.ma.extras
import time:       393 |       5295 |         numpy.ma
import time:      2546 |     100307 |       numpy
import time:       230 |        230 |           PIL._version
import time:       335 |        564 |         PIL
import time:        98 |         98 |           defusedxml
import time:        36 |        133 |         defusedxml.ElementTree
import time:       158 |        158 |         PIL.ImageMode
import time:       513 |        513 |         PIL.TiffTags
import time:       144 |        144 |         PIL._binary
import time:       140 |        140 |         PIL._util
import time:       901 |        901 |         PIL._imaging
import time:       106 |        106 |         cffi
import time:      1873 |       4528 |       PIL.Image
import time:       377 |        377 |       PIL.ImageFile
import time:       188 |        188 |       face_recognition_models
import time:    616232 |     747553 |     face01lib.api
import time:       250 |     747803 |   face01lib
import time:        34 |     747836 | face01lib.api
import time:     30305 |      30305 |   cv2.cv2
import time:       444 |        444 |   cv2.mat_wrapper
import time:       246 |        246 |     cv2.misc.version
import time:       369 |        615 |   cv2.misc
import time:       194 |        194 |   cv2.data
import time:       172 |        172 |   cv2.version
import time:       175 |        175 |   cv2.load_config_py3
import time:      6743 |      38645 | cv2
import time:      7006 |       7006 |     mediapipe.python._framework_bindings
import time:       447 |        447 |       google.protobuf
import time:       448 |        448 |       google.protobuf.message
import time:       638 |       1532 |     mediapipe.python.packet_creator
import time:       175 |        175 |         google.protobuf.internal
import time:       256 |        256 |           google.protobuf.internal._api_implementation
import time:       105 |        105 |           google.protobuf.enable_deterministic_proto_serialization
import time:       374 |        734 |         google.protobuf.internal.api_implementation
import time:       172 |        172 |             google.protobuf.pyext
import time:       293 |        293 |               google.protobuf.internal.enum_type_wrapper
import time:      2452 |       2744 |             google.protobuf.pyext._message
import time:       863 |       3778 |           google.protobuf.descriptor
import time:       229 |        229 |           google.protobuf.descriptor_database
import time:       500 |        500 |           google.protobuf.text_encoding
import time:       622 |       5127 |         google.protobuf.descriptor_pool
import time:       132 |        132 |           google.protobuf.pyext.cpp_message
import time:       257 |        388 |         google.protobuf.message_factory
import time:       359 |       6780 |       google.protobuf.symbol_database
import time:       303 |       7083 |     mediapipe.python.packet_getter
import time:       415 |      16035 |   mediapipe.python
import time:      1318 |       1318 |       mediapipe.python.solutions.face_mesh_connections
import time:       247 |        247 |       mediapipe.python.solutions.hands_connections
import time:       915 |        915 |         dataclasses
import time:       184 |        184 |                 packaging.__about__
import time:       220 |        403 |               packaging
import time:       232 |        232 |               packaging._structures
import time:      1338 |       1972 |             packaging.version
import time:       557 |        557 |               matplotlib._api.deprecation
import time:       652 |       1209 |             matplotlib._api
import time:       161 |        161 |             matplotlib._version
import time:       630 |        630 |               gzip
import time:       250 |        250 |               matplotlib._c_internal_utils
import time:      1302 |       2181 |             matplotlib.cbook
